,ProductName,Platform,SellerName,SuperCategory,SubCategory,Last 30Day GMV,rankOverall,rankPP,rankDP,rankBijExp,rankSeller,variantid,App_Image,App_Deeplink,Price_Range,IsBijnisExpress,Avg_Price,VariantSize,Color
5558,EVA Sliders 1516,Production,"M G Enterprises,Delhi Market",Footwear,EVA MOULDED SLIPPERS,255221.0,6.0,4.0,,,2.0,2509356,https://bijnis.s3.ap-south-1.amazonaws.com/production/uploads/1490487986/22-02-2024/17085882151204d40a14ea6b24cd1bbe1d405daa57911.jpg,https://bijnis.app.link/XIDvcddiPJb,157 - 173,No,164.86," 10, 7, 8, 9,6,7","Grey,Blue,Black"
5559,EVA Sliders 1522,Production,"Delhi Market,M G Enterprises",Footwear,EVA MOULDED SLIPPERS,325673.0,3.0,2.0,,,1.0,2509348,https://bijnis.s3.ap-south-1.amazonaws.com/production/uploads/1490487986/22-02-2024/1708587104595363471d4f8c649b0b90619cd688e3231.jpg,https://bijnis.app.link/BDLaPRKYNJb,157 - 173,No,164.86," 10, 7, 8, 9,6,7","Blue,Grey,Black"
5581,EVA Sliders 2371,Production,"Royal Eva Products Pvt Ltd,Delhi Market",Footwear,EVA MOULDED SLIPPERS,266848.0,5.0,3.0,,,1.0,2542073,https://bijnis.s3.ap-south-1.amazonaws.com/production/uploads/1490487986/15-04-2024/1713176903172ec099f477f0b47a296f7f1dcbc84539c.jpg,https://bijnis.app.link/ltCs8XqU0Jb,79 - 87,No,83.15," 7, 8, 9,6","Grey,White"
5587,EVA Sliders 2394,Production,"M G Enterprises,Delhi Market",Footwear,EVA MOULDED SLIPPERS,330049.0,2.0,1.0,,,1.0,2545322,https://bijnis.s3.ap-south-1.amazonaws.com/production/uploads/1490486616/17-05-2024/1715923672370DSC5544.JPG,https://bijnis.app.link/WNAqvieiPJb,157 - 173,No,164.86," 10, 7, 8, 9,6,7","Blue,Black,Grey"
5649,EVA T-Shape 462,Production,"ASRON INDIA,INAYA ENTERPRISES,ETHICS MARKETING,Delhi Market",Footwear,EVA MOULDED SLIPPERS,217580.0,8.0,5.0,,,1.0,2436496,https://bijnis.s3.ap-south-1.amazonaws.com/production/uploads/1490486616/18-11-2023/1700294543594d6dbff4750a7430d81795faca4492595.jpg,https://bijnis.app.link/BThi4SiiPJb,210 - 232,No,220.62," 10, 8, 9,7","Black,Brown,Tan"
6300,FOOT DOSE 393,Distribution,BABA DHAM ENTERPRISES,Footwear,EVA MOULDED SLIPPERS,314772.0,4.0,,2.0,,1.0,2564827,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/uploadfile_1-5505dd74-821e-4911-b97a-17ac0fcd1316.jpeg,https://bijnis.app.link/BUm7jpuVNJb,119 - 131,No,124.74," 3, 4, 5, 7, 8, 9,2,6",Multicolor
9511,Oofoam 140,Distribution,OOFOAM FOOTWEARS PRIVATE LIMITED,Footwear,EVA MOULDED SLIPPERS,188926.0,9.0,,4.0,,4.0,2298054,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/1490487236/uploadfile_2-20942046-25e8-43be-8b20-fe773f99430a.jpeg,https://bijnis.app.link/6CsfkNWVVJb,116 - 128,No,121.67," 5, 6, 7, 8, 9,4,5,6","Pink,Peach,Brown,Pista Green,Tan"
9515,Oofoam 178,Distribution,OOFOAM FOOTWEARS PRIVATE LIMITED,Footwear,EVA MOULDED SLIPPERS,220210.0,7.0,,3.0,,3.0,2297881,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/uploadfile_1-eda43a98-9d39-4082-883c-15f337755723.jpeg,https://bijnis.app.link/B5c37MWVVJb,122 - 135,No,128.19," 5, 6, 7, 8, 9,4,5,6","Peach,Pink,Black"
9526,Oofoam 237,Distribution,OOFOAM FOOTWEARS PRIVATE LIMITED,Footwear,EVA MOULDED SLIPPERS,399583.0,1.0,,1.0,,1.0,2461245,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/uploadfile_1-a9b88fcc-095c-44b6-a608-17e1c674cd36.jpeg,https://bijnis.app.link/Z5Pxv1LXNJb,156 - 172,No,164.23," 5, 6, 7, 8,4,5","Pink,Peach,Black,Magenta"
16223,WELCOME 2364,Distribution,WELCOME SHOES PVT. LTD.,Footwear,EVA MOULDED SLIPPERS,182732.0,10.0,,5.0,,1.0,2201519,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/uploadfile_1-dca0792d-1877-4346-b780-e1a6d61f6634.jpeg,https://bijnis.app.link/yAErLpc9NJb,318 - 351,No,334.31," 10, 7, 8, 9,6,7","Olive,Black,Tan,Brown,Mustard"
