,ProductName,Platform,SellerName,SuperCategory,SubCategory,Last 30Day GMV,rankOverall,rankPP,rankDP,rankBijExp,rankSeller,variantid,App_Image,App_Deeplink,Price_Range,IsBijnisExpress,Avg_Price,VariantSize,Color
3448,COMBIT 1879,Distribution,K. V. FOOTWEAR,Footwear,PVC MOULDED SCHOOL SHOES,20735.0,143.0,,99.0,,6.0,1882405,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/1490485863/uploadfile_1-f87090d3-23b3-490a-a76c-cc9eba39404f.jpeg,https://bijnis.app.link/zDl4n0c8NJb,159 - 175,No,166.92," 2, 3,1",Black
3449,COMBIT 1880,Distribution,K. V. FOOTWEAR,Footwear,PVC MOULDED SCHOOL SHOES,26374.0,113.0,,74.0,,1.0,1882411,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/1490485863/uploadfile_2-695a9bbb-3267-420e-a64b-7a21d79d8594.jpeg,https://bijnis.app.link/TYRXUC66NJb,173 - 191,No,181.73," 5, 6,4",Black
3450,COMBIT 1881,Distribution,K. V. FOOTWEAR,Footwear,PVC MOULDED SCHOOL SHOES,12632.0,237.0,,181.0,,19.0,1882414,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/1490485863/uploadfile_1-5a8ab1aa-8d8b-49c8-b82f-f873b6f97464.jpeg,https://bijnis.app.link/drGFs10ZNJb,141 - 155,No,148.07," 10, 9,10,8",Black
3451,COMBIT 1882,Distribution,K. V. FOOTWEAR,Footwear,PVC MOULDED SCHOOL SHOES,22622.0,131.0,,90.0,,4.0,1882420,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/1490485863/uploadfile_1-00929ad6-117c-4035-9738-72ef9ac892a7.jpeg,https://bijnis.app.link/zfpdKK15NJb,150 - 165,No,157.5," 12, 13,11,12",Black
3452,COMBIT 1883,Distribution,K. V. FOOTWEAR,Footwear,PVC MOULDED SCHOOL SHOES,508.0,737.0,,664.0,,144.0,1882422,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/1490485863/uploadfile_2-55f59a3b-397a-4d34-94c6-2f9fd2855838.jpeg,https://bijnis.app.link/PefyHoQ0NJb,132 - 146,No,138.65," 7,6,7",Black
3453,COMBIT 1884,Distribution,K. V. FOOTWEAR,Footwear,PVC MOULDED SCHOOL SHOES,16856.0,170.0,,125.0,,9.0,1882426,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/1490485863/uploadfile_2-2396988c-1ce6-469a-acf9-cec7c5aad741.jpeg,https://bijnis.app.link/nUQXlW3ZNJb,217 - 240,No,228.84," 10, 8, 9,7",Black
3454,COMBIT 1886,Distribution,K. V. FOOTWEAR,Footwear,PVC MOULDED SCHOOL SHOES,19802.0,149.0,,105.0,,7.0,1882436,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/1490485863/uploadfile_1-1df23f93-ac87-4bc5-ae89-24f82ff9f4a7.jpeg,https://bijnis.app.link/31yLLkOYNJb,206 - 228,No,216.73," 5, 6,4",White
3455,COMBIT 1887,Distribution,K. V. FOOTWEAR,Footwear,PVC MOULDED SCHOOL SHOES,6772.0,344.0,,282.0,,44.0,1882440,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/1490485863/uploadfile_1-a2366415-639e-4445-85cd-4805ae78099c.jpeg,https://bijnis.app.link/nU49DphZNJb,166 - 184,No,175.0," 10, 9,10,8","Brown,White"
3456,COMBIT 1888,Distribution,K. V. FOOTWEAR,Footwear,PVC MOULDED SCHOOL SHOES,11683.0,251.0,,193.0,,23.0,1882444,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/1490485863/uploadfile_1-2d5d202f-463f-4a02-b08b-e9ea8fd8a2d0.jpeg,https://bijnis.app.link/hXBm0414NJb,183 - 202,No,192.5," 12, 13,11,12,13",White
3457,COMBIT 1889,Distribution,K. V. FOOTWEAR,Footwear,PVC MOULDED SCHOOL SHOES,1908.0,600.0,,529.0,,93.0,1882450,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/1490485863/uploadfile_1-a4a5ca97-02b7-4682-9413-e7aac0574137.jpeg,https://bijnis.app.link/eTBo7UN9NJb,157 - 174,No,165.57,,White
3458,COMBIT 1891,Distribution,K. V. FOOTWEAR,Footwear,PVC MOULDED SCHOOL SHOES,13220.0,221.0,,167.0,,15.0,1882463,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/1490485863/uploadfile_2-25d68a39-97fd-4c4e-afa1-9e955d06c2a0.jpeg,https://bijnis.app.link/DeS9x1r4NJb,187 - 206,No,196.53," 3, 4, 5,2,4,5","White,Black"
3459,COMBIT 1892,Distribution,K. V. FOOTWEAR,Footwear,PVC MOULDED SCHOOL SHOES,6188.0,361.0,,299.0,,48.0,1882467,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/1490485863/uploadfile_2-7b38cdc6-7365-4492-a100-742a9706525d.jpeg,https://bijnis.app.link/sanAJXBaBKb,207 - 229,No,218.07," 10, 7, 8, 9,6","White,Black"
