Platform,SuperCategory,SubCategory,variantid,ProductName,SellerName,Color,App_Image,App_Deeplink,Avg_Price,Price_Range,VariantSize,Datetime of FirstLiveDate,rank,Aging
Distribution,Apparels,Full Stitched Blouse,2590314,Pre Smart 174,PHALOD SILK MILLS PVT LTD,Multicolor-9,https://prod-seller-app-bucket.s3.ap-south-1.amazonaws.com/production/$yjrtf3lx/files/wy8lomh5a,https://bijnis.app.link/1aiOvXtTKKb,142.34,135 - 149,"30,32,34,36,38,40,42","26 Jun, 2024 18:09:44",1,27
Distribution,Apparels,Kurtas,2583451,Crunchy 2065,Mehta Enterprises,Black,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/uploadfile_1-023e3f83-b1d1-4546-8386-bfe7e2c65059.jpeg,https://bijnis.app.link/82CkKay5hLb,815.23,774 - 856," 38, 40, 42, 44,36","16 Jul, 2024 18:00:30",1,7
Distribution,Apparels,Kurtas,2583452,Crunchy 2065,Mehta Enterprises,Navy Blue,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/uploadfile_1-133ab8b9-3743-4d91-b5f0-975a406aa7d0.jpeg,https://bijnis.app.link/0Vrs8ay5hLb,815.23,774 - 856," 38, 40, 42, 44,36","16 Jul, 2024 18:00:30",1,7
Distribution,Apparels,Kurtas,2583453,Crunchy 2065,Mehta Enterprises,Sea Green,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/uploadfile_1-529c4bd4-eaad-40f8-854c-9eff85995bbb.jpeg,https://bijnis.app.link/YV66R9x5hLb,815.23,774 - 856," 38, 40, 42, 44,36","16 Jul, 2024 18:00:30",1,7
Distribution,Apparels,Kurtas,2583454,Crunchy 2065,Mehta Enterprises,Wine,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/uploadfile_1-499639cb-d73f-4d6e-94e3-8fa94b44a9d1.jpeg,https://bijnis.app.link/e2A989x5hLb,815.23,774 - 856," 38, 40, 42, 44,36","16 Jul, 2024 18:00:30",1,7
Distribution,Apparels,Kurtas,2583455,Crunchy 2065,Mehta Enterprises,Yellow,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/uploadfile_1-9bf0be9a-ad4b-4f99-a1f3-e81031641c16.jpeg,https://bijnis.app.link/lNADIay5hLb,815.23,774 - 856," 38, 40, 42, 44,36","16 Jul, 2024 18:00:30",1,7
Distribution,Apparels,Kurtas,2583456,Crunchy 2065,Mehta Enterprises,Red,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/uploadfile_1-143b6f3d-65e5-4f7f-83b4-5ab7106fb1d6.jpeg,https://bijnis.app.link/BK2Zway5hLb,815.23,774 - 856," 38, 40, 42, 44,36","16 Jul, 2024 18:00:30",1,7
Distribution,Apparels,Kurtas,2584199,Crunchy 2066,Mehta Enterprises,Multicolor,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/uploadfile_1-71baa7c6-3b7d-4d9d-9d95-31f9e72fbc29.jpeg,https://bijnis.app.link/xo4loby5hLb,883.82,840 - 928," 38, 40, 42,36","16 Jul, 2024 18:00:30",1,7
Distribution,Apparels,Kurtas,2584209,Crunchy 2067,Mehta Enterprises,Multicolor,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/uploadfile_1-6637a30f-c64e-40b6-a94b-9c466954cb48.jpeg,https://bijnis.app.link/hWZM8cy5hLb,815.23,774 - 856," 36, 38, 40, 42, 44,34","16 Jul, 2024 18:00:30",1,7
Distribution,Apparels,Kurtas,2584385,VBC 234,Vipin Boss Clothing,Multicolor,https://prod-seller-app-bucket.s3.ap-south-1.amazonaws.com/production/aaltyogpb/files/grhctv67b,https://bijnis.app.link/G62w0hFzHKb,414.09,393 - 435," 40, 42,38","24 Jun, 2024 15:01:10",1,29
